,0,1,2,3,4,5,6,7,8,9
0,-0.72798234,0.47327074,-0.09284023,0.6732989,-0.23567905,-0.6464117,-0.18148245,-0.43541744,0.23336542,-0.9543899
1,-0.8018193,0.24585508,-0.10499282,0.84289485,-0.37486026,-0.4185827,0.05874766,-0.05334255,0.73340255,-0.4718775
2,-0.60231924,0.2232491,-0.18635671,0.86939037,-0.22906514,-0.22417377,0.10357788,-0.20258087,0.6444224,-0.7061434
3,-0.21616772,0.4057547,-0.05586757,0.7138989,-0.25783542,-0.3352258,0.2834404,-0.15918884,0.6370065,-0.8274329
4,-0.27283168,0.39040273,-0.27094933,0.6896722,-0.12617603,-0.49113902,-0.17617069,-0.5251945,0.44413218,-0.8203365
5,-0.2407176,0.28562868,-0.32524994,0.6955214,-0.24009228,-0.28667948,0.29712415,-0.36146972,0.34659132,-1.0027255
6,-0.38510013,0.5752389,-0.1672677,0.54613423,-0.00472539,-0.5428258,-0.17125727,-0.29324088,0.7197675,-0.6782985
7,-0.3022265,0.35069618,-0.26341987,0.73126554,-0.14164004,-0.5162174,0.01642874,-0.34024766,0.64807403,-0.67517954
8,-0.26952612,0.3858224,0.00872016,0.8332542,0.07115701,-0.25331,0.3040374,0.03398275,0.76969737,-0.8232524
9,-0.56725246,0.60739034,-0.2043974,0.75878,0.22884487,-0.3815256,-0.2600874,-0.15294476,0.50017256,-0.74049294
10,-0.5328742,0.38725662,-0.13203283,0.74129325,0.00182555,-0.33110923,-0.08424228,-0.33201435,0.4736197,-0.7933661
11,-0.3074037,0.34572858,0.08521055,0.8719302,-0.1464118,-0.22980879,-0.14605995,-0.15825795,0.6490954,-0.753754
12,-0.51895154,0.40340906,-0.30979106,0.68401957,-0.24044886,-0.10338354,0.13470618,-0.05122297,0.7447697,-0.646573
13,-0.16599514,0.48907468,-0.24443936,0.7580278,0.14795035,-0.1488666,-0.09570094,-0.33459303,0.6815426,-0.8120094
14,-0.2197736,0.70680803,-0.49729276,0.6747864,0.03091905,-0.32691768,-0.07791686,-0.18699911,0.5116156,-0.77717733
15,-0.6366023,0.37772462,-0.22314547,0.82707745,-0.20428082,-0.15588792,-0.27557656,-0.18514727,0.5508388,-0.7557585
16,-0.39559823,0.3910151,-0.06999122,0.75359243,-0.3005751,-0.55675155,-0.01364439,-0.13686708,0.73581356,-0.5514953
17,-0.97669643,0.3665103,-0.01602797,1.0710804,-0.33681637,-0.46730414,0.15566994,-0.02473504,0.54900104,-0.35521302
